twitter_handle,lon,lat,msg,timestamp
bikewatchbne,-27.469658,153.016696,There are no spots free at the Kurilpa Point / Montague Rd station #98.,2015-07-05 11:40:08
bikewatchbne,-27.476076,153.002459,There are no spots free at the Bi-centennial Bike Way / Lang Pde station #139.,2015-07-05 11:40:08
ivanmysiv,-37.796111,144.943889,"Wind 2,4 m/s N. Barometer 1005,6 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 48%",2015-07-05 11:40:11
VirtualJukebox,-33.814195,151.006554,"Let's Get Ready To Rhumble by PJ And Duncan AKA is #nowplaying in Collector Hotel, Parramatta.  Download it now at http://t.co/ZxhG6VJO78",2015-07-05 11:40:14
trendinaliaAU,-24.9162,133.3931,1. #insiders\n2. #StoryBridge75\n3. #theboltreport\n4. #sbspopasia\n5. #CopaAmericaFinal\n\n2015/7/5 11:37 EST #trndnl http://t.co/3f5QhuibxR,2015-07-05 11:40:30
trendinaliaAU,-24.9162,133.3931,6. Hibbert\n7. Higuain\n8. Davis Cup\n9. Alex McKinnon\n10. Spurs\n\n2015/7/5 11:37 EST #trndnl http://t.co/3f5QhuibxR,2015-07-05 11:40:31
atrueblueaussie,-34.072023,150.827439,@Zanukah Not before having his revenges http://t.co/D8BTgkJsSA,2015-07-05 11:40:40
peteburrows1,-28.637609,153.628679,Nice to be warm in winter. #Byron @ The Pass - Byron Bay NSW Australia https://t.co/G5qupmvniI,2015-07-05 11:40:41
fshnbnkr,-34.932703,138.597663,@_cassielynch_ @notyourstandard ,2015-07-05 11:40:51
Leablues_39,-37.859681,144.735197,@ScriptedOne true agree could not get it out of center and those dogs are quick. Both teams played bad and Cripps limped off to ,2015-07-05 11:40:54
sassymamaling,-33.863937,151.17717,Would LOVE show your ladies our lingerie.. Coupon code for 10% off: sassy1  http://t.co/Jm2Rr6Mqf0 @RhinoMelbourne http://t.co/fjbCZziVmE,2015-07-05 11:40:55
ivanmysiv,-37.796111,144.943889,"Wind 2,7 m/s N. Barometer 1005,6 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 49%",2015-07-05 11:41:11
NORAbrew,-27.586691,153.027802,Welcoming our new girls from this 6week GetItGurrl Challenge!  well done ladies! Hope ya'll enjoy https://t.co/AFqNySRQVS,2015-07-05 11:41:24
McCluskeyJoe,-25.282203,152.901979,#HerveyBay @ Hervey Bay Beach :) https://t.co/p4ItAgMGwJ,2015-07-05 11:41:33
stephh_webster,-37.819539,144.981884,"7,500+ steps =  #stadiumstomp @ M C G Stadium Stomp https://t.co/zgd2FwU3kI",2015-07-05 11:41:37
glamadelaide,-34.913277,138.624542,Is it too early for this? le_pink_petite_patisserie spoils us with goodness. #indulge #adelaide https://t.co/9N1VyESzm8,2015-07-05 11:41:47
emgw_melbourne,-37.843647,144.780212,"#Hazmat: Leakes Rd, Laverton North. Initiated. 3 Appliances. Timeline: http://t.co/r1yOftfsZc http://t.co/zsLywtLU5j",2015-07-05 11:42:03
AttipasAus,-33.878648,151.2353,Love this super cute 'bibs and booties' arrangement for an upcoming boy's baby shower. https://t.co/MSUlC30Dc6,2015-07-05 11:42:09
ivanmysiv,-37.796111,144.943889,"Wind 3,4 m/s N. Barometer 1005,5 hPa, Falling. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 49%",2015-07-05 11:42:11
JimmysBurgers,-37.797646,144.986649,Old Mate deadlifts_and_pizza rolled through with @issacmartin1 @sashandburger on a huge burger crawl! https://t.co/fZNX4pwmlf,2015-07-05 11:42:15
Cjensen8,-37.81572,144.970108,Coffee ice cream  @lucyliu_melb @ Lucy Liu Kitchen and Bar https://t.co/NcrXB1xUZI,2015-07-05 11:42:18
KatyaByMosquito,-35.005572,138.735171,Sunday essentials\n\nShop Natalie bag on http://t.co/hFuWxNmiXn\n\n#fashion #sotd #style #ootd #outfit https://t.co/WrbPxhc9iK,2015-07-05 11:42:20
petahopkins,-27.466391,153.035812,What a crowd @ Story Bridge - Brisbane https://t.co/9RMyB6nIa3,2015-07-05 11:42:38
amandahawkins37,-33.819553,148.738153,@joyachheng awesome lol,2015-07-05 11:42:43
RetrenchFiles,-27.599577,152.730714,"@lightswimming hours of serenity, oh the serenity #outback #roadtrip",2015-07-05 11:42:43
HyperLeone,-27.4625,153.033798,My way ti celebrate #StoryBridge75 : #HyperBreakfast (#sardines #cheese #bread #oj #milk #nesquik https://t.co/FmSU5M0V6Q,2015-07-05 11:42:44
Leablues_39,-37.859678,144.734038,@Claire_Winga @magpie_fans lol that's cleaver ,2015-07-05 11:42:49
haydos_86,-38.319582,144.714606,12 o'clock somewhere!! @stoneandwood at the @portseahotel  perfect #Morningtonpeninsula https://t.co/OJZQmGF1PS,2015-07-05 11:42:51
SittingSuitcase,-37.862309,144.974136,#Porridge @ Il fornaio https://t.co/ZkLHrdvdsd,2015-07-05 11:42:51
korpustattoo,-37.766239,144.961716,Tattoo by Alvaro Flores alvaroflorestattooer #korpus #korpusstudio #korpustattoo #korpusbrunswick https://t.co/CcQrukVXIg,2015-07-05 11:42:56
CrunchySteve,-37.909658,145.027157,Selling for a friend who's not in the country Snowboard Mistral http://t.co/75xuZiXcgs @eBay,2015-07-05 11:43:00
StJPharmacy,-33.907711,151.211423,Reserve Forces Day Parade @ Victoria Square https://t.co/rrCoUUU0Gg,2015-07-05 11:43:00
CBRGlassworks,-34.585419,150.247597,Great to see our Case Study in the New ACT Arts Policy document. http://t.co/faL9fnQ7bW,2015-07-05 11:43:07
NORAbrew,-27.586691,153.027802,"To my beautiful sister inlaw Tamalii  congrats on 2nd place sis!! You've done SO well, I'm so proud https://t.co/yywrNkd8Ov",2015-07-05 11:43:11
ivanmysiv,-37.796111,144.943889,"Wind 1,4 m/s N. Barometer 1005,6 hPa, Falling. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 49%",2015-07-05 11:43:11
trendinaliaAU,-24.9162,133.3931,Did you know that 'FULL TIME' was Trending Topic on Friday 4 for 4 hours in Australia? http://t.co/KZoELzuwHI #trndnl,2015-07-05 11:43:17
travelformotion,-33.471782,151.288489,I'm at Staples Lookout https://t.co/cy1huwGdIK,2015-07-05 11:43:22
vanheusden3,-25.213572,152.041207,When the McDonald's in Australia have slushies ,2015-07-05 11:43:29
BeatzLowkey,-27.559275,153.016255,Listen to Wiz Khalifa - See You Again **Island_Blend**FRESH**  [Beatz.Lowkey] by Beatz Lowkey #np on #SoundCloud\nhttp://t.co/Sha9S2LMFX,2015-07-05 11:43:33
GriguolBrenton,-35.153889,138.662101,#my #toy #today #jcb #8045 #excavator #kangarilla #camp #david #mt #panorama @ mt panorama Kangarilla SA https://t.co/AX43KMI3p2,2015-07-05 11:43:43
tyroga,-37.82263,144.96089,Beautiful day in our city for David's birthday! (with David at @crownmelbourne) [pic]  https://t.co/BsyQkBYJV2,2015-07-05 11:43:44
VirtualJukebox,-33.814195,151.006554,"Love Me Like You Do by Ellie Goulding is #nowplaying in Collector Hotel, Parramatta.  Download it now at http://t.co/wRC2DTh3NY",2015-07-05 11:43:47
kenziegrace___,-27.573015,153.112555,"Outfit for the StoryBridge, guess you could say I'm going for one thing in particular... @jessquinn_ @shortstackband http://t.co/91AQaxvPLW",2015-07-05 11:43:56
rayhanmusic,-37.7976,144.969589,Thanks to my friend Lewis from foundsound_ Melbourne for these beautiful guitars! Cheers and see you https://t.co/LNCshEQ6Oo,2015-07-05 11:44:00
mikeonthetweet,-36.725468,146.961743,"Just posted a photo @ Ovens River, Bright https://t.co/RgWwgHTzK8",2015-07-05 11:44:01
atrueblueaussie,-34.071956,150.827543,@johnsalmond  How ever if it upsets community leaders like this one  Get into politics to strip our Civil liberties. http://t.co/xbEdYrus4g,2015-07-05 11:44:05
djmaarv,-26.681139,153.063987,#GenreEnt Bangin' Up in #sunnycoast lastnight  Thanks for the opportunity brah bennieboi101 @ https://t.co/gYs9lKFuhE,2015-07-05 11:44:10
ivanmysiv,-37.796111,144.943889,"Wind 2,0 m/s NNW. Barometer 1005,6 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 49%",2015-07-05 11:44:11
cheraynatalie,-37.868748,144.987122,coffee and plant gifts from @pennyeager this morning  @ The St. Kilda Dispensary https://t.co/ODVKPnOAdV,2015-07-05 11:44:17
ryan_kincade,-42.88731,147.335754,Morning walk in Battery Point. tassieoak #Hobart #Tasmania #Winter @ Lenna of Hobart https://t.co/yJGJEui0OX,2015-07-05 11:44:23
StJPharmacy,-33.8678,151.212745,Reserve Forces Day Parade @ Courtyard Cafe Da Capo https://t.co/Ok0wCvgzJS,2015-07-05 11:44:28
mpearce_perth,-31.730079,115.761627,Networking - A basic how to guide for job seekers https://t.co/dyt14CFGPT,2015-07-05 11:44:29
jessdelicious,-34.303436,150.909776,With the lovely Mr &amp; Mrs Rattananinad #libdrusayido #love @ Panorama House Bulli Tops https://t.co/41iAXMy1xy,2015-07-05 11:44:55
netooweb,-31.946667,115.993333,"Wind 2 km/h NNW. Barometer 1023.1 hPa, Rising slowly. Temperature 17.8 C. Rain today 0.0 mm. Humidity 88%",2015-07-05 11:45:03
ivanmysiv,-37.796111,144.943889,"Wind 1,7 m/s NNW. Barometer 1005,6 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 50%",2015-07-05 11:45:11
WarrandyteFmWx,-34.859167,149.693611,"Wind 9.3 km/h WNW. Barometer 1006.1 hPa, Falling. Temperature 9.6 C. Rain today 0.0 mm. Humidity 57%",2015-07-05 11:45:28
McCartneyLauren,-33.9167,151267,"Winter's morning walk #winter #walking #coogee #trees #photography #sky #blue @ Coogee, New South https://t.co/Xkle3QLhgj",2015-07-05 11:45:29
LawsonHartshorn,-37.85578,145.365283,"I'm no expert but I believe this is @rusteypipes ""I love climbing"" face. #goodtimes #cycling @ Mt https://t.co/SNcIvO43vR",2015-07-05 11:45:30
Cjensen8,-37.81572,144.970108,Sticky Pork Buns  @lucyliu_melb @ Lucy Liu Kitchen and Bar https://t.co/4rd29Q4EYj,2015-07-05 11:45:53
DTsirekas,-33.891567,151.138136,"Who is up for some lamb shank shakshuka. Meet you @plunge46 in an hour for some spiced up lamb, https://t.co/DTZhkL3yyw",2015-07-05 11:45:56
SettlersTav,-33.949822,115.073639,#today #sundaysesh #TenCentShooters and #thesun 3-6pm #bluesontheverandah #yourlocal https://t.co/K6SCRy5kGm,2015-07-05 11:46:04
ivanmysiv,-37.796111,144.943889,"Wind 4,4 m/s NNW. Barometer 1005,6 hPa, Falling slowly. Temperature 15,7 A2C. Rain today 0,0 mm. Humidity 50%",2015-07-05 11:46:12
jenbradby,-37.14513,146.43895,Skier dude @ Mt Buller https://t.co/sZrNuLlbVK,2015-07-05 11:46:17
CameronWall,-33.799019,151.273315,Just posted a photo @ Fairlight Beach https://t.co/d3g1lr4xuT,2015-07-05 11:46:19
ashleystills,-33.811276,151.106485,Them eats. @ Kazbah Restaurants - Top Ryde https://t.co/dLLuHJcgGV,2015-07-05 11:46:24
elainems_x,-37.831486,144.957304,Sunday in Melbourne.... What to do today!,2015-07-05 11:46:34
petahopkins,-27.466391,153.035812,Have to do closeups cos no room to move @ Story Bridge - Brisbane https://t.co/IywQmWxHV1,2015-07-05 11:46:43
Whitsundaymeech,-27.925998,153.405519,@teamteegs nearing roundabout at runaway bay.About 8k to go #GCAM15 #MackayPride #lovewhitsundays http://t.co/CpVMZGu0TS,2015-07-05 11:46:51
CityCat89,-33.795889,151.178996,Sundae Sunday mrsfieldsau nothing like some sweet indulgence on this beautiful winter day. Warm https://t.co/BHOPJTuRAD,2015-07-05 11:46:52
angelliew88,-27.471546,153.02623,"Breakfast with rice lol (@ Bo Lan Thai in Brisbane City, Queensland) https://t.co/Nl5enykBwy http://t.co/bqsFJgT8df",2015-07-05 11:46:52
aizzatafiq,-33.86058,151.210885,"I'm at Circular Quay Ferry Terminal - @131500ferries in Sydney, NSW https://t.co/KJ6Lc7Lsgd",2015-07-05 11:46:56
ivanmysiv,-37.796111,144.943889,"Wind 4,1 m/s NNW. Barometer 1005,6 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 49%",2015-07-05 11:47:11
fgm_darwin,-12.409116,130.885957,Lots of new friends! @ The Furry Godmother Pet Resort https://t.co/ufyZPHnzIB,2015-07-05 11:47:12
saaahweeet,-33.909096,151.033087,#NickKyrigous #BernardTomic both are a disgrace to Australian Tennis!! Glad Tomic got the axe from the #DavisCup team http://t.co/KP9FZRZWvu,2015-07-05 11:47:13
VirtualJukebox,-37.986289,145.20643,"Dry Your Eyes by The Streets is #nowplaying in Genesis Dandedong, Dandenong.  Download it now at http://t.co/FHCt0fJZ1E",2015-07-05 11:47:21
stratfe69,-33.4167,149567,"Australian Fossil and Mineral #Museum @ bathurst 1876 Bathurst Public School #reprurposed @ Bathurst, https://t.co/KqWAFL9auA",2015-07-05 11:47:29
AzumangaDavo,-31.920316,115.932896,Time to play! @ West Coast Model RC https://t.co/mCr8pMBNmU,2015-07-05 11:48:01
SupportOurCops,-30.781984,121.488357,Western Australia Police - Out Of Control Gathering Declared - Kalgoorlie http://t.co/Lg3GTyiaQf,2015-07-05 11:48:04
ivanmysiv,-37.796111,144.943889,"Wind 1,7 m/s NNW. Barometer 1005,5 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 49%",2015-07-05 11:48:11
kenziegrace___,-27.573103,153.112632,@chelseapotorff @jessquinn_ @shortstackband thanks boo ,2015-07-05 11:48:28
TheDoctorOfWho,-34.019197,151.019598,Unknowingly owning cosplays is the friggin best #genisys http://t.co/ieWyUbpAlE,2015-07-05 11:48:36
hellokikiphotos,-37.809181,144.947162,s u n d a y  r e a d i n g  \n\n#Hellokikiphotos #sunday #NicoleWarnexElleCover @ https://t.co/6t6BHLSOWj,2015-07-05 11:48:41
LongBeachNSW,-35.697778,150.217222,"#weather @ 11:30\nTemp\n13.3'C\nWind\n10km/h,NW, gust 18km/h\n\nWeb\nhttp://t.co/fFdMkseYL9\n#batemansbay",2015-07-05 11:48:43
klongrainbows,-33.887154,150.943681,On my way.   #sydney #australia #trainstation #ready #greatday #converse #rubber @ Canley https://t.co/jn8Wk1HNQn,2015-07-05 11:48:48
emgw_bendigo,-36.648026,144.175262,"#Rescue: Loddon Valley Hwy, Woodvale. Going. Timeline: http://t.co/dIxhbsMgIg http://t.co/mqHVfvb8Vy",2015-07-05 11:48:59
kalaliss,-33.884247,151.197098,"Sunday (@ Nostalgia Dessert and Cafe in Ultimo, NSW) https://t.co/3gWQNJ1lLT http://t.co/hxqEuQxBK2",2015-07-05 11:49:07
ivanmysiv,-37.796111,144.943889,"Wind 1,7 m/s NNW. Barometer 1005,6 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 49%",2015-07-05 11:49:12
chunzies,-33.725648,150.370265,Being on places like these makes me feel like taking a piss off the edge just to see how long it https://t.co/ZhAFipeQbB,2015-07-05 11:49:14
Heels_Starbucks,-27.823228,153.413496," @ Couran Point Island Beach Resort, South Stradbroke Island https://t.co/EzjqQk93ax",2015-07-05 11:49:18
nazhifahnazihah,-33.718056,150.310556,"Blue Mountains, Australia \n.\nThe famous and fabulous mountain that has its own history, named https://t.co/YsBkJ94mbO",2015-07-05 11:49:26
ClayfieldMarto,-27.455374,153.038906,Joeys party face http://t.co/k2Ib2zE4Yl,2015-07-05 11:49:33
marcbennie,-33.991267,151.231914,"BLAK MARKETS (@ Bare Island in La Perouse, NSW) https://t.co/GJOYAVAKdz http://t.co/teDQ9uMplp",2015-07-05 11:50:00
ivanmysiv,-37.796111,144.943889,"Wind 1,4 m/s NNW. Barometer 1005,5 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 49%",2015-07-05 11:50:12
VirtualJukebox,-37.986289,145.20643,"Sex On Fire by Kings Of Leon is #nowplaying in Genesis Dandedong, Dandenong.  Download it now at http://t.co/AUEoA7gYop",2015-07-05 11:50:26
DJWrisley,-33.900931,151.181949,"@martindholmes Despite the UK scandals, Wikipedia: ""The Australian toy manufacturer Elka continues to 'proudly' produce golliwogs""",2015-07-05 11:50:31
TimBauerPhoto,-33.786478,151.178208,#stanzeeleather #monikaradulovic #studioshoot #missuniverse #tungstenlighting #nikond4 #timbauerphoto https://t.co/Lft2nygIca,2015-07-05 11:50:41
ivanmysiv,-37.796111,144.943889,"Wind 3,1 m/s N. Barometer 1005,6 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 50%",2015-07-05 11:51:11
formidable_lou,-33.937941,151.145785,Dancing our way through my Birthday weekend on the Gold Coast with annamohen  --- re-upload https://t.co/BERBomsayw,2015-07-05 11:51:18
jessdelicious,-34.303436,150.909776,Wedding selfie  #wedding #libdrusayido @ Panorama House Bulli Tops https://t.co/uVWAegprpD,2015-07-05 11:51:29
joubertyao,-27.966263,153.417183,"I'm at Gold Coast Marathon in Southport, QLD https://t.co/TQ2dfyvFOu http://t.co/UZP8Yt3FU9",2015-07-05 11:51:41
googuns_lulz,-27.632017,144.381845,578662f72247489df664edcf73bb7110a7a027cff5d80267f0e7d88d68e332a4e7c3c2f398bc422fe3c998e4d922df85b6a9f16c265de2aaf183de3a29d201cebcdeda000000,2015-07-05 11:52:00
ItsSiobhanD,-37.72288,145.151353,Sunday wedding inspiration  Read about the best 10 wedding blogs for inspiration for your special https://t.co/wXUS8ouw0M,2015-07-05 11:52:02
VirtualJukebox,-32.744687,151.586654,"Love Me Like You Do by Ellie Goulding is #nowplaying in Hunter River Hotel, East Maitland.  Download it now at http://t.co/wRC2DTh3NY",2015-07-05 11:52:04
ivanmysiv,-37.796111,144.943889,"Wind 1,0 m/s N. Barometer 1005,4 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 49%",2015-07-05 11:52:11
trendinaliaAU,-24.9162,133.3931,Trend Alert: 'The Breakfast Clubbing Season'. More trends at http://t.co/3f5QhuibxR #trndnl http://t.co/X11kEySdzN,2015-07-05 11:52:12
alison_dance,-35.241268,149.071411,Brunch time! #Rosti #poachedeggs #bacon #cottagecheese #Canberra @ Chatterbox Espresso Bar https://t.co/TrmDuRGvcf,2015-07-05 11:52:28
Pyo_30,-37.88625,144.988693,Brunch with a side of positive vibes #sundayfunday #quoteoftheday @ Combi https://t.co/ztAe6gYV7H,2015-07-05 11:52:36
formidable_lou,-33.937941,151.145785,Dancing our way through my Birthday weekend on the Gold Coast with annamohen  --- re-upload https://t.co/rQsDRf8ZIZ,2015-07-05 11:52:40
Pretika_Chandra,-33.90126,151.178879,#familytime #brunching with my boys! @ Yeniky Cafe &amp; Restaurant https://t.co/BMtIZ5ZtZ7,2015-07-05 11:52:46
R_Michelle27,-37.853399,145.149766,"I'm at Kmart in Burwood East, VIC https://t.co/lA8yS44StU",2015-07-05 11:52:54
OoiMckenzie,-31.948797,115.85861,The only way out to wait for my dimsum to open  @ Milk and Honey https://t.co/4Qy1rgqe7T,2015-07-05 11:52:54
randy_torres,-33.8278,151233,Doing the #Spit to #Manly Walk #Sydney #Australia sydney @australia @cityofsydney #ilovesydney @ https://t.co/o05nKox9lM,2015-07-05 11:52:57
vickymrt,-33.865997,151.208648,"Jamie's Italian #jamieoliver (@ Jamie's Italian in Sydney, NSW) https://t.co/VqGx1zj2Tx http://t.co/jqPHm3jvHn",2015-07-05 11:53:01
maullido_lunar,-35.365425,149.11298,He bajado casi 10 kg desde que me pes en Noviembre en Espaa. Cmo se nota la falta de abuela,2015-07-05 11:53:04
reverendbigdawg,-37.69536,145.058659,"All out of dog food! (@ Woolworths in Bundoora, VIC) https://t.co/TsS9f1GZYc",2015-07-05 11:53:08
ivanmysiv,-37.796111,144.943889,"Wind 4,1 m/s N. Barometer 1005,5 hPa, Falling. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 50%",2015-07-05 11:53:12
danielw88,-37.738846,144.680251,"Pit stop 1! (@ BP in Rockbank, VIC) http://t.co/iOoCF8hdhh",2015-07-05 11:53:36
DonaldHarvey78,-37.550974,143.844813,A great day for a walk around the Lake. #lakewendouree #beautifulday #perfectweather @ Steve https://t.co/4QOfZgvY50,2015-07-05 11:53:43
atrueblueaussie,-34.071959,150.827541,@duncanthementat DV Shelters ? Its ok for a while @mikebairdMP  has delayed closing them until his 20bl$s is gone Once broke again 1st cab o,2015-07-05 11:53:47
VirtualJukebox,-37.986289,145.20643,"Latch by Disclosure Featuring Sam Smith is #nowplaying in Genesis Dandedong, Dandenong.  Download it now at http://t.co/iFqfg1ftwZ",2015-07-05 11:53:48
FeelGoodJoey,-33.89102,151.277726,"Sunday smiles... So Happy the sun is shining, love sunny beach days even through the https://t.co/0zMVjEbkaB",2015-07-05 11:53:49
ivanmysiv,-37.796111,144.943889,"Wind 4,1 m/s N. Barometer 1005,5 hPa, Falling slowly. Temperature 15,1 A2C. Rain today 0,0 mm. Humidity 50%",2015-07-05 11:54:11
bystreetlight,-42.812464,147.261633,"I'm at MONA: Museum of Old and New Art in Berriedale, TAS https://t.co/uuOjVXs5bN",2015-07-05 11:54:19
ch2mjobs,-12.452227,131.009148,"CH2M: EPC Associate Construction Coordinator (#Darwin, NT) http://t.co/CCoLnai01N #Engineering #Job #Jobs #Hiring",2015-07-05 11:54:35
VictoriaNewton,-27.466391,153.035812,Happy 75th Birthday to the Story Bridge #birthday #75years @ Story Bridge - Brisbane https://t.co/ZF4dXX9st5,2015-07-05 11:54:36
ClaudineJessica,-33.910769,151.194317,Oh.My.God !!!!!  #waffle #icecream #thegrounds #sydney #eateateat @ The Grounds of Alexandria https://t.co/8oFas10Go8,2015-07-05 11:54:54
MichellePeji,-33.855637,151.16267,Chicken Gozlemi! #turkishdelish @ Birkenhead Point Outlet Centre https://t.co/2fs849TFON,2015-07-05 11:54:55
EbonyZappone,-37.655306,145.06418,Proud to of lived in such a wonderful country for 3 years. Happy 4th everyone!  @ Second Home https://t.co/bfjTvjD4xv,2015-07-05 11:54:55
jason_crofts,-31.960701,115.867003,#teamphoto #coolbiniabombers #galaday #yearone #crofts @ Langley Park https://t.co/TW7WA4AVEX,2015-07-05 11:55:06
